new_cases;new_deaths;country;population_density
35059;231;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
48273;248;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
46361;250;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
48216;177;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
53310;248;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
50953;232;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
56409;252;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
42344;228;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
28048;137;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
22143;106;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
17609;170;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
16712;87;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
15279;67;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
12431;73;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
9715;68;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
7587;43;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
7116;41;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
6061;34;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
10349;63;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
7012;34;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
6712;66;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
9133;68;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
11356;29;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
13277;54;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
13815;57;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
12041;51;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
8648;112;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
9952;40;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
10357;33;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;;
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
2;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
1;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
10;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
22;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
19;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
6;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
30;2;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
0;0;Benin;99.11
